"chytrid_gene","cyano_gene","spearman_r","n_nonzero_chy","n_nonzero_cyano","min_nonzero","suspicious","locus_tag","protein","product"
"RFA1_HUMAN","77289994",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19285","sensor histidine kinase","HAMP domain-containing sensor histidine kinase"
"RPAB2_SCHPO","77289994",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19285","sensor histidine kinase","HAMP domain-containing sensor histidine kinase"
"SULH1_SCHPO","77289994",0.964285714285714,7,7,7,FALSE,"NMG88_RS19285","sensor histidine kinase","HAMP domain-containing sensor histidine kinase"
"UBIQP_XENLA","77289994",0.964285714285714,7,7,7,FALSE,"NMG88_RS19285","sensor histidine kinase","HAMP domain-containing sensor histidine kinase"
"ZRT1_CANAL","77289994",0.964285714285714,7,7,7,FALSE,"NMG88_RS19285","sensor histidine kinase","HAMP domain-containing sensor histidine kinase"
"LBSA_EMENI","77289997",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19300","four-carbon acid sugar kinase family protein","four-carbon acid sugar kinase family protein"
"OTC_EMENI","77289999",0.964285714285714,7,7,7,FALSE,"NMG88_RS19310","MBOAT family O-acyltransferase","MBOAT family O-acyltransferase"
"GAR1_NEOFI","77290002",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19325","glycoside hydrolase family 10 protein","family 10 glycosylhydrolase"
"ERG12_CANAL","77290005",0.964285714285714,7,6,6,FALSE,"NMG88_RS19340","GMC oxidoreductase","GMC family oxidoreductase"
"SSU72_YARLI","77290005",0.964285714285714,7,6,6,FALSE,"NMG88_RS19340","GMC oxidoreductase","GMC family oxidoreductase"
"PUT2_AGABI","77290007",0.964285714285714,7,6,6,FALSE,"NMG88_RS19350","cytochrome c oxidase subunit I","cytochrome c oxidase subunit I"
"TPPC3_CHICK","77290007",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19350","cytochrome c oxidase subunit I","cytochrome c oxidase subunit I"
"YG06_SCHPO","77290007",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19350","cytochrome c oxidase subunit I","cytochrome c oxidase subunit I"
"GLGB_RHIID","77290009",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19360","DUF2231 domain-containing protein","DUF2231 domain-containing protein"
"WDR35_RAT","77290009",0.964285714285714,7,6,6,FALSE,"NMG88_RS19360","DUF2231 domain-containing protein","DUF2231 domain-containing protein"
"YG4I_YEAST","77290013",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19380","efflux RND transporter periplasmic adaptor subunit","efflux RND transporter periplasmic adaptor subunit"
"RRP3_SCHPO","77290014",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19385","efflux RND transporter permease subunit","efflux RND transporter permease subunit"
"PAM17_SCHPO","77290029",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19460","alanine--tRNA ligase","alanine--tRNA ligase"
"GNAI_DROME","77290030",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19465","DUF3370 domain-containing protein","DUF3370 domain-containing protein"
"COQ8_YEAST","77290031",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19470","type I restriction-modification system subunit M","type I restriction-modification system subunit M"
"TBBN_GUITH","77290031",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19470","type I restriction-modification system subunit M","type I restriction-modification system subunit M"
"DHX37_HUMAN","77290043",0.964285714285714,7,7,7,FALSE,"NMG88_RS19530","DEAD/DEAH box helicase family protein","DEAD/DEAH box helicase family protein"
"PUT2_AGABI","77290043",0.964285714285714,7,7,7,FALSE,"NMG88_RS19530","DEAD/DEAH box helicase family protein","DEAD/DEAH box helicase family protein"
"DAPB_PARBD","77290046",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19545","TIGR02921 family PEP-CTERM protein","TIGR02921 family PEP-CTERM protein"
"HIS7_EREGS","77290046",0.964285714285714,7,6,6,FALSE,"NMG88_RS19545","TIGR02921 family PEP-CTERM protein","TIGR02921 family PEP-CTERM protein"
"NPAL2_HUMAN","77290047",0.964285714285714,7,6,6,FALSE,"NMG88_RS19550","RNA recognition motif domain-containing protein","RNA-binding protein RbpA"
"PHOP1_MOUSE","77290047",0.964285714285714,7,6,6,FALSE,"NMG88_RS19550","RNA recognition motif domain-containing protein","RNA-binding protein RbpA"
"RPC1_SCHPO","77290047",0.964285714285714,7,6,6,FALSE,"NMG88_RS19550","RNA recognition motif domain-containing protein","RNA-binding protein RbpA"
"LBSA_EMENI","77290051",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19570","mannose-1-phosphate guanyltransferase","mannose-1-phosphate guanyltransferase"
"RH25_ORYSJ","77290053",0.964285714285714,7,7,7,FALSE,"NMG88_RS19580","class I SAM-dependent methyltransferase","class I SAM-dependent methyltransferase"
"WDR89_DICDI","77290053",0.964285714285714,7,7,7,FALSE,"NMG88_RS19580","class I SAM-dependent methyltransferase","class I SAM-dependent methyltransferase"
"PDE9A_MOUSE","77290058",0.964285714285714,7,6,6,FALSE,"NMG88_RS19605","sulfate adenylyltransferase","sulfate adenylyltransferase"
"TF2B_SCHPO","77290058",0.964285714285714,7,6,6,FALSE,"NMG88_RS19605","sulfate adenylyltransferase","sulfate adenylyltransferase"
"BSS_BOTBR","77290061",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19620","valine--pyruvate transaminase","valine--pyruvate transaminase"
"HFM1_HUMAN","77290061",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19620","valine--pyruvate transaminase","valine--pyruvate transaminase"
"RUVB2_HUMAN","77290062",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19625","Tab2/Atab2 family RNA-binding protein","Tab2/Atab2 family RNA-binding protein"
"WDR59_YEAST","77290062",0.964285714285714,7,6,6,FALSE,"NMG88_RS19625","Tab2/Atab2 family RNA-binding protein","Tab2/Atab2 family RNA-binding protein"
"PSMD2_BOVIN","77290064",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19635","histidinol-phosphate transaminase","histidinol-phosphate transaminase"
"JMJD6_HYDVU","77290073",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19680","16S rRNA (cytosine(967)-C(5))-methyltransferase","16S rRNA (cytosine(967)-C(5))-methyltransferase"
"AOX_TRYBB","77290074",0.964285714285714,7,7,7,FALSE,"NMG88_RS19685","CBS domain-containing protein","CBS domain-containing protein"
"CBPC5_XENTR","77290074",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19685","CBS domain-containing protein","CBS domain-containing protein"
