"chytrid_gene","cyano_gene","spearman_r","n_nonzero_chy","n_nonzero_cyano","min_nonzero","suspicious","locus_tag","protein","product"
"PAQR1_HUMAN","77287976",0.926561645826376,7,4,4,FALSE,"NMG88_RS09195","M16 family metallopeptidase","pitrilysin family protein"
"PAQR1_HUMAN","77287993",0.926561645826376,7,4,4,FALSE,"NMG88_RS09280","ABC transporter permease","iron export ABC transporter permease subunit FetB"
"CBPC1_HUMAN","77288027",0.926561645826376,7,4,4,FALSE,"NMG88_RS09450","STAS domain-containing protein","STAS domain-containing protein"
"NPAL2_HUMAN","77288139",0.926561645826376,7,4,4,FALSE,"NMG88_RS10010","mannose-1-phosphate guanylyltransferase","mannose-1-phosphate guanylyltransferase"
"CBPC1_HUMAN","77288226",0.926561645826376,7,4,4,FALSE,"NMG88_RS10445","phage tail protein","phage tail protein"
"PHOP1_MOUSE","77288228",0.926561645826376,7,4,4,FALSE,"NMG88_RS10455","phage tail protein","phage tail protein"
"PAQR1_HUMAN","77288237",0.926561645826376,7,4,4,FALSE,"NMG88_RS10500","pentapeptide repeat-containing protein","pentapeptide repeat-containing protein"
"PHOP1_MOUSE","77288290",0.926561645826376,7,4,4,FALSE,"NMG88_RS10765","hypothetical protein","hypothetical protein"
"PAQR1_HUMAN","77288413",0.926561645826376,7,4,4,FALSE,"NMG88_RS11380","ribosome maturation factor RimP","ribosome maturation factor RimP"
"NPAL2_HUMAN","77288434",0.926561645826376,7,4,4,FALSE,"NMG88_RS11485","amino acid ABC transporter substrate-binding protein","amino acid ABC transporter substrate-binding protein"
"CBPC1_HUMAN","77288465",0.926561645826376,7,4,4,FALSE,"NMG88_RS11640","cobalamin biosynthesis protein CobW","cobalamin biosynthesis protein CobW"
"NPAL2_HUMAN","77288481",0.926561645826376,7,4,4,FALSE,"NMG88_RS11720","proton extrusion protein PcxA","proton extrusion protein PcxA"
"CBPC1_HUMAN","77288495",0.926561645826376,7,4,4,FALSE,"NMG88_RS11790","VOC family protein","VOC family protein"
"PAQR1_HUMAN","77288533",0.926561645826376,7,4,4,FALSE,"NMG88_RS11980","cyclase family protein","cyclase family protein"
"AL1A3_HUMAN","77288631",-0.926561645826376,7,4,4,FALSE,"NMG88_RS12470","30S ribosomal protein S15","30S ribosomal protein S15"
"AMYA_DROMA","77288644",0.926561645826376,7,4,4,FALSE,"NMG88_RS12535","FHA domain-containing protein","FHA domain-containing protein"
"CBPC1_HUMAN","77288742",0.926561645826376,7,4,4,FALSE,"NMG88_RS13025","DUF427 domain-containing protein","DUF427 domain-containing protein"
"AL1A3_HUMAN","77288888",-0.926561645826376,7,4,4,FALSE,"NMG88_RS13755","DUF3386 domain-containing protein","DUF3386 domain-containing protein"
"PHOP1_MOUSE","77288932",0.926561645826376,7,4,4,FALSE,"NMG88_RS13975","Uma2 family endonuclease","Uma2 family endonuclease"
"NPAL2_HUMAN","77288996",-0.926561645826376,7,4,4,FALSE,"NMG88_RS14295","DUF2288 domain-containing protein","DUF2288 domain-containing protein"
"ATC2_CRYNH","77289039",-0.926561645826376,7,4,4,FALSE,"NMG88_RS14510","hypothetical protein","hypothetical protein"
"CAMKI_MACNP","77289063",0.926561645826376,7,4,4,FALSE,"NMG88_RS14630","S66 peptidase family protein","LD-carboxypeptidase"
"BIP_ASPAW","77289095",-0.926561645826376,7,4,4,FALSE,"NMG88_RS14790","RloB family protein","RloB family protein"
"BIP_ASPAW","77289096",-0.926561645826376,7,4,4,FALSE,"NMG88_RS14795","AAA family ATPase","ATP-binding protein"
"AMYA_DROMA","77289200",-0.926561645826376,7,4,4,FALSE,"NMG88_RS15315","galactose-1-phosphate uridylyltransferase","galactose-1-phosphate uridylyltransferase"
"NU4M_USTMA","77289219",0.926561645826376,7,4,4,FALSE,"NMG88_RS15410","Uma2 family endonuclease","Uma2 family endonuclease"
"ABCB6_HUMAN","77289228",-0.926561645826376,7,4,4,FALSE,"NMG88_RS15455","LysE family translocator","LysE family transporter"
"CBPC1_HUMAN","77289291",0.926561645826376,7,4,4,FALSE,"NMG88_RS15770","phage tail protein","phage tail protein"
"CAMKI_MACNP","77289311",0.926561645826376,7,4,4,FALSE,"NMG88_RS15870","Bax inhibitor-1/YccA family protein","Bax inhibitor-1 family protein"
"NPAL2_HUMAN","77289433",0.926561645826376,7,4,4,FALSE,"NMG88_RS16480","Uma2 family endonuclease","Uma2 family endonuclease"
"PAQR1_HUMAN","77289500",0.926561645826376,7,4,4,FALSE,"NMG88_RS16815","DUF1815 family protein","DUF1815 family protein"
