Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Z10_1_trimm_paired	Z10_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38075260.0	4.9 Gbp	0.0	36-151	50.0	32.07709253509219	129.44786869479026	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z10_2_trimm_paired	Z10_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38075260.0	5 Gbp	0.0	36-151	50.0	31.849870236004126	131.43945401817348	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z11_1_trimm_paired	Z11_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41511101.0	5.3 Gbp	0.0	36-151	51.0	24.040488255831065	128.70280479913072	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z11_2_trimm_paired	Z11_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41511101.0	5.4 Gbp	0.0	36-151	51.0	23.911282419118248	130.49437505885473	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z12_1_trimm_paired	Z12_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45745306.0	5.9 Gbp	0.0	36-151	50.0	29.19989278068224	129.96132105882077	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z12_2_trimm_paired	Z12_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45745306.0	6 Gbp	0.0	36-151	50.0	29.26275598348044	131.61466332742424	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z1_1_trimm_paired	Z1_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43626865.0	5.7 Gbp	0.0	36-151	49.0	35.05447380327057	130.73512602842308	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z1_2_trimm_paired	Z1_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43626865.0	5.7 Gbp	0.0	36-151	49.0	34.70962683986617	132.32913483469417	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z2_1_trimm_paired	Z2_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44527686.0	5.7 Gbp	0.0	36-151	51.0	36.319850694576	129.7838780798086	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z2_2_trimm_paired	Z2_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44527686.0	5.8 Gbp	0.0	36-151	51.0	35.48783450903839	131.8067077637944	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z3_1_trimm_paired	Z3_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37101505.0	4.8 Gbp	0.0	36-151	52.0	39.47868886492136	130.99811956415246	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z3_2_trimm_paired	Z3_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37101505.0	4.9 Gbp	0.0	36-151	52.0	38.572834942569614	133.14586720942992	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z4_1_trimm_paired	Z4_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35746734.0	4.5 Gbp	0.0	36-151	50.0	26.773280682046476	127.39569388353073	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z4_2_trimm_paired	Z4_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35746734.0	4.6 Gbp	0.0	36-151	51.0	26.199893318196487	129.94352242081752	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z5_1_trimm_paired	Z5_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39388575.0	5.1 Gbp	0.0	36-151	50.0	40.30195149296252	131.21809004260754	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z5_2_trimm_paired	Z5_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39388575.0	5.2 Gbp	0.0	36-151	50.0	39.61711486604315	133.08655423558736	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z6_1_trimm_paired	Z6_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39847331.0	5.1 Gbp	0.0	36-151	53.0	27.69605639867357	129.86547231983994	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Z6_2_trimm_paired	Z6_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39847331.0	5.2 Gbp	0.0	36-151	53.0	27.42319078603126	131.67281745921704	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Z7_1_trimm_paired	Z7_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45141865.0	5.8 Gbp	0.0	36-151	52.0	38.09899873757909	129.9266707301526	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z7_2_trimm_paired	Z7_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45141865.0	5.9 Gbp	0.0	36-151	52.0	36.846223481817205	131.86869749400032	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z8_1_trimm_paired	Z8_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40366312.0	5.2 Gbp	0.0	36-151	51.0	23.688370630682332	128.96709825757677	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z8_2_trimm_paired	Z8_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40366312.0	5.2 Gbp	0.0	36-151	51.0	23.014882289689094	131.06653989098632	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Z9_1_trimm_paired	Z9_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47312089.0	6 Gbp	0.0	36-151	52.0	13.869274647303719	128.22258030077683	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Z9_2_trimm_paired	Z9_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47312089.0	6.1 Gbp	0.0	36-151	52.0	13.707366184890901	130.25231253263834	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
